;Formula;Format;Comments;Code;Summary;"DCA Formula";"Use Workflow";"Storage Format";"Referenced By";"Cell Count";"Size (GB)";"Clean Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
"Код в виде числа";NUMBER('Код');"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";"SELF('L Ком блок':-1) + 1";;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;2;1.4901161193848E-8;;129000000469;true;;;NUMBER('129000000468');NUMBER('Код');
"L Тех блок";;;МДП;;;;;;;3;1.4901161193848E-8;;101000000076;;;;;;
item;"ITEM('L Тех блок')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000076,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"Код, 'План расходов ТД'.'Тех блок'";1;7.4505805969238E-9;;129000000470;true;;;ITEM('101000000076');"ITEM('L Тех блок')";
Код;CODE('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Код в виде числа'";1;0;;129000000471;true;;;CODE('129000000470');CODE('item');
"Код в виде числа";NUMBER('Код');"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":0,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN""}";"SELF('L Тех блок':-1) + 1";;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'План расходов ТД'.'Код тех блока'";1;7.4505805969238E-9;;129000000472;true;;;NUMBER('129000000471');NUMBER('Код');
"L2 ЦФО";;;МДП;;;;;;;16288;3.4131109714508E-5;;101000000061;;;;;;
"В Архив?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;And;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";Del;1018;1.8961727619171E-6;;129000000698;true;;;;;
Del;"'В Архив?'";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;1.8961727619171E-6;;129000000900;true;;;'129000000698';"'В Архив?'";
"Тип ЦФО";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Технический блок'";1018;0;;129000000306;true;;;;;
"Режим налогообложения";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;0;;129000000307;true;;;;;
DN;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;0;;129000000308;true;;;;;
Parent;PARENT('item');"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000061,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;7.5846910476685E-6;;129000000309;true;;;PARENT('129000000311');PARENT('item');
Name;NAME('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;0;;129000000596;true;;;NAME('129000000311');NAME('item');
Code;CODE('item');"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;0;;129000000597;true;;;CODE('129000000311');CODE('item');
